GDP growth,Digital index,AI capacity,Unemployment risk,state_code,action_code,Chính sách π*(s),Phân bổ,Q_max
Thấp,Thấp,Thấp,Thấp,0,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.725017295525119
Thấp,Thấp,Thấp,Trung bình,1,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,6.818992972694427
Thấp,Thấp,Thấp,Cao,2,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.445232348527516
Thấp,Thấp,Trung bình,Thấp,3,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.5544476496415394
Thấp,Thấp,Trung bình,Trung bình,4,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.9778927950796765
Thấp,Thấp,Trung bình,Cao,5,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.347868040225126
Thấp,Thấp,Cao,Thấp,6,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.490238460383486
Thấp,Thấp,Cao,Trung bình,7,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,3.832720775657391
Thấp,Thấp,Cao,Cao,8,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.28545286679137
Thấp,Trung bình,Thấp,Thấp,9,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.1911858159099156
Thấp,Trung bình,Thấp,Trung bình,10,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.371118232216143
Thấp,Trung bình,Thấp,Cao,11,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.622591411208463
Thấp,Trung bình,Trung bình,Thấp,12,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.1888265074882893
Thấp,Trung bình,Trung bình,Trung bình,13,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.477638020835692
Thấp,Trung bình,Trung bình,Cao,14,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.988769029773506
Thấp,Trung bình,Cao,Thấp,15,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.4847793291247664
Thấp,Trung bình,Cao,Trung bình,16,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.6388126889409267
Thấp,Trung bình,Cao,Cao,17,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.5244994891729418
Thấp,Cao,Thấp,Thấp,18,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.056755973510756
Thấp,Cao,Thấp,Trung bình,19,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.274261418837878
Thấp,Cao,Thấp,Cao,20,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.2929762048353313
Thấp,Cao,Trung bình,Thấp,21,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,0.8756178158060298
Thấp,Cao,Trung bình,Trung bình,22,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.449906221807823
Thấp,Cao,Trung bình,Cao,23,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.20728261271859
Thấp,Cao,Cao,Thấp,24,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,0.40463986515655403
Thấp,Cao,Cao,Trung bình,25,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.3463502552768989
Thấp,Cao,Cao,Cao,26,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.084744657604029
Trung bình,Thấp,Thấp,Thấp,27,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.765680022825706
Trung bình,Thấp,Thấp,Trung bình,28,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.7757256296455335
Trung bình,Thấp,Thấp,Cao,29,a3,a3 - AI dẫn dắt,20% K + 20% D + 45% AI + 15% H,4.3203390949466645
Trung bình,Thấp,Trung bình,Thấp,30,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.8282017194781433
Trung bình,Thấp,Trung bình,Trung bình,31,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.017938560612138
Trung bình,Thấp,Trung bình,Cao,32,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.714647551336483
Trung bình,Thấp,Cao,Thấp,33,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.528603209188826
Trung bình,Thấp,Cao,Trung bình,34,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.51544366813592
Trung bình,Thấp,Cao,Cao,35,a1,a1 - Cân bằng,40% K + 25% D + 15% AI + 20% H,4.333297398894233
Trung bình,Trung bình,Thấp,Thấp,36,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.045052390479761
Trung bình,Trung bình,Thấp,Trung bình,37,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.182748071556578
Trung bình,Trung bình,Thấp,Cao,38,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.339338296358647
Trung bình,Trung bình,Trung bình,Thấp,39,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.5571910605752453
Trung bình,Trung bình,Trung bình,Trung bình,40,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.008840695507182
Trung bình,Trung bình,Trung bình,Cao,41,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.560787086170161
Trung bình,Trung bình,Cao,Thấp,42,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.623189603920184
Trung bình,Trung bình,Cao,Trung bình,43,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.4375273258649366
Trung bình,Trung bình,Cao,Cao,44,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.256855097464014
Trung bình,Cao,Thấp,Thấp,45,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.5427007261762773
Trung bình,Cao,Thấp,Trung bình,46,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.861516788426369
Trung bình,Cao,Thấp,Cao,47,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.8490374922975645
Trung bình,Cao,Trung bình,Thấp,48,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.369073616689883
Trung bình,Cao,Trung bình,Trung bình,49,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.783900755711657
Trung bình,Cao,Trung bình,Cao,50,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.726466174452836
Trung bình,Cao,Cao,Thấp,51,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,0.6804981984646646
Trung bình,Cao,Cao,Trung bình,52,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.7054845537918142
Trung bình,Cao,Cao,Cao,53,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.4693906550954487
Cao,Thấp,Thấp,Thấp,54,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,4.663294001535431
Cao,Thấp,Thấp,Trung bình,55,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,5.790562073624466
Cao,Thấp,Thấp,Cao,56,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,5.897137022334565
Cao,Thấp,Trung bình,Thấp,57,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.698041211106867
Cao,Thấp,Trung bình,Trung bình,58,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.745069054999104
Cao,Thấp,Trung bình,Cao,59,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,5.1476108051932075
Cao,Thấp,Cao,Thấp,60,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,2.427648291110555
Cao,Thấp,Cao,Trung bình,61,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,3.8917819842957804
Cao,Thấp,Cao,Cao,62,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,4.616932984070414
Cao,Trung bình,Thấp,Thấp,63,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.9273017909404184
Cao,Trung bình,Thấp,Trung bình,64,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,5.160469782324979
Cao,Trung bình,Thấp,Cao,65,a3,a3 - AI dẫn dắt,20% K + 20% D + 45% AI + 15% H,3.8084633199096354
Cao,Trung bình,Trung bình,Thấp,66,a2,a2 - Số hóa nhanh,25% K + 45% D + 15% AI + 15% H,2.4000984213673298
Cao,Trung bình,Trung bình,Trung bình,67,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.083417256865886
Cao,Trung bình,Trung bình,Cao,68,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,4.547324874629197
Cao,Trung bình,Cao,Thấp,69,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.8546084478611822
Cao,Trung bình,Cao,Trung bình,70,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.306191063323914
Cao,Trung bình,Cao,Cao,71,a0,a0 - Truyền thống,70% K + 10% D + 10% AI + 10% H,2.9284347147673917
Cao,Cao,Thấp,Thấp,72,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.507570459113534
Cao,Cao,Thấp,Trung bình,73,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.815150535155408
Cao,Cao,Thấp,Cao,74,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,3.8282372343509246
Cao,Cao,Trung bình,Thấp,75,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,1.3905584317006485
Cao,Cao,Trung bình,Trung bình,76,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.7346473884365605
Cao,Cao,Trung bình,Cao,77,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.730265242752642
Cao,Cao,Cao,Thấp,78,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,0.5585383752757508
Cao,Cao,Cao,Trung bình,79,a1,a1 - Cân bằng,40% K + 25% D + 15% AI + 20% H,0.8401442233487856
Cao,Cao,Cao,Cao,80,a4,a4 - Bao trùm,30% K + 20% D + 10% AI + 40% H,2.4434317143951567
